Kreis-Id,NDVI
8317,0.0290058875930495
8317,0.418006190447523
8337,0.0630411531475256
8337,0.1771902978776139
8415,0.0183012081001074
8415,0.4346218756275087
8415,0.0429428176621297
8415,0.0209072957608716
8335,0.0190893853557943
8335,0.0071675720081465
8335,-0.0445220760547043
8327,0.5096124425326184
8327,0.2275065685702681
8436,0.2786518242462638
8436,0.0552366892915149
8436,0.020456863622795
8436,0.3484706008761355
8436,0.6779753725348799
8426,0.1654023459941808
8436,0.2081069172050461
8426,0.5602481909006418
8225,0.5672334265983419
8128,0.4965463916443066
8128,0.0264547924260447
8128,0.4490827598209967
8225,0.0277826880182079
8225,0.5160957093796416
8226,0.4994320750302107
8226,0.0299912381559034
8216,0.0722394566140221
8215,0.0364399433206424
8126,0.0399730929434838
8126,0.1055065884097985
8126,0.0795581825230451
8126,0.0487360334373549
8226,0.0713222601024602
8237,0.6282819244344025
8237,0.0860186107057854
8317,0.6294656336022892
8226,0.0420353923879345
8215,0.1697518173671915
8236,0.2540095094342083
8236,0.2905198865663298
8236,0.0999529744256161
8215,0.0295251472275653
8215,0.2520971024840002
8125,0.1040313736690731
8118,0.286305673181906
8125,0.2641065010372249
8118,0.3675425870522635
8118,0.1114446817750243
8125,0.3082080869579798
8417,0.4947041260134405
8325,0.0143916211057108
8325,0.5844159680616842
8417,0.0182307441938191
8417,0.0104534119861637
8325,0.0340377449989813
8119,0.3743557617741241
8118,0.3861435968876885
8118,0.0282274911875446
8136,0.0254110913071107
8119,0.0307605509343099
8128,0.1569786941896182
8128,0.154628369894263
8128,0.0882887637411406
8126,0.0233456432151025
8126,0.4274356783151512
8126,0.0177092433202654
8425,0.2222469074445745
8135,0.3485508538916389
8135,0.0863531568239786
8425,0.1754408519488172
8127,0.1424477480585034
8127,0.0357735366291677
8119,0.0246903542162658
8119,0.0606599863878287
8119,0.2347437872614562
8127,0.0148864667171394
8127,0.0434294226455779
8127,0.0705785315826734
8127,0.0116812531415664
8127,0.2586820440151958
8127,0.5776970311270841
8127,0.007379845189141
8127,0.0102145839155503
8316,0.0369320239636379
8316,0.000927322415225
8316,0.5419544810991578
8316,0.0991518478165988
8316,0.1190075759088228
8315,0.1110336567363363
8326,0.0257581592420214
8326,0.0902270119112266
8326,0.4835859454293882
8315,0.453287619530152
8315,0.0128376142251983
8315,0.0218432340221829
8337,0.0181439950739142
8337,0.0176350275556338
8337,0.5067363888929765
8337,0.1041117353603023
8337,0.1122886366763854
8326,0.0494316842279596
8326,0.2377240969371317
8337,0.2970126918844283
8326,0.078616940458558
8415,0.2359465036971983
8426,0.4999539108611782
8415,0.2483005218644425
8426,0.3309366364165874
8426,-0.0066854384528922
8437,-0.0127120898392533
8437,0.054068805766678
8437,0.0810919562062481
8436,-0.0055445469384133
8335,0.0707776516779633
8335,-0.0192362800825961
8335,0.059838662491989
8335,-0.0012840230771649
8335,0.0344037602650575
8335,0.0388529903930501
8335,0.0046280641542664
8335,-0.0135034161882501
8327,0.4833078735153261
8327,0.0304797133915897
8327,0.027772375126469
8426,0.5171947205445463
8425,0.0791382388660646
8426,0.2410596369916492
8426,0.5531749295771072
8425,0.4304533168850535
8425,0.4027910463329392
8335,0.0096763367269534
8335,0.0355995878424309
8335,0.0354915147319481
8335,0.1137909072327127
8335,0.2641467093083856
8335,0.144923101402973
8335,0.0984434661449909
8335,-0.1740268483646786
8335,0.0311304721162913
8315,0.0182648872034369
8316,0.0145708642225648
8315,0.3486247166111426
8316,0.5354071480494126
8315,0.3616728271989323
8315,0.400506492580062
8337,0.0158507353956608
8337,0.585149312284002
8337,0.2978146296470308
8337,0.2021902432148857
8417,0.50933646593555
8327,0.0328269782103754
8417,0.0858025129207409
8325,0.3372374142729723
8327,0.0644796144219598
8327,0.4475476959502447
8326,0.0218741889930391
8417,0.1306875042319147
8326,0.3241012770256976
8326,0.4775982402571002
8325,0.0950189884104964
8325,0.5581593019023247
8426,0.5493448779328716
8426,0.0112141068219013
8335,0.1134441723435375
8335,0.2573452074115235
8335,0.2471878881775159
8335,0.001251634291216
8436,0.2179960364742885
8426,0.5306653379027185
8426,0.1235581062802421
8235,0.1702049836516315
8235,0.1357812112444293
8216,0.0400977085590584
8215,0.0687662945297692
8225,0.1243021546723342
8126,0.4036407350961976
8126,0.1258949308890912
8225,0.3520448772109583
8126,0.0787574918947697
8225,0.0838486985698643
8235,0.5736737478215811
8235,0.0248260854257446
8216,0.5922477611963841
8235,0.4520368276137125
8216,0.0376065502381642
8237,0.2343049767096287
8237,0.4802098735433772
8317,0.1104710609890528
8317,0.3228040063640409
8236,0.3087124281559595
8236,0.1183296697944309
8216,0.0280702818983759
8216,0.1200808237112578
8317,0.1075991033846532
8118,0.0718817545407852
8118,0.0689883393501344
8119,0.0720596864783648
8119,0.0690170616840782
8119,0.0797425130732561
8118,0.1360581848526952
8118,0.2061017483946809
8119,0.1478685977510803
8235,0.5657962122118915
8216,0.1849025370794665
8235,0.0563116682120407
8237,0.0982428317138265
8216,0.5777258672878328
8235,0.2753834458437074
8237,0.0437872033923005
8237,0.2530639964711136
8116,0.3266594181227716
8136,0.0335874375463709
8119,0.3008723868182638
8136,0.0110468288125272
8117,0.342319754177276
8116,0.0389549029858767
8116,0.0190403680624704
8119,0.0310964493502616
8136,0.3344615613068256
8117,0.0157354541623854
8117,0.0375269264734075
8119,0.0118463244718038
8236,0.0554331892396274
8236,0.3762749529266061
8236,0.02443250016963
8116,0.1150270700297613
8116,0.4328501694427511
8116,0.0107720220183164
8116,0.4020757708310797
8116,0.1078737660246092
8116,0.0329455820156159
8215,0.4059281269967605
8235,0.0358196423758336
8115,0.0272075511089003
8235,0.4204376553114877
8235,0.0628530076574791
8115,0.4613969802769151
8115,0.0333524438769038
8127,0.0127312073974178
8127,0.221952584358952
8127,0.0386044190455507
8118,0.2373517655365838
8118,0.2966202436913446
8415,0.4779759811880361
8415,0.0468186985678488
8415,0.0244168975339195
8128,-0.0037343966564381
8128,0.4815494739053513
8126,0.0102624258042517
8126,0.0081089131299847
8126,0.5184500881173227
8128,0.0022544796941393
8126,0.0481812649109811
8126,0.237462550242229
8115,0.1280836236618272
8115,0.3349816194945794
8416,0.2681897055362737
8416,0.3210429232119824
8126,0.0820767952090827
8126,0.070277280681349
8126,0.2825631385284413
8126,0.0291075956799249
8236,0.5464910198500466
8236,0.0102997950356975
8236,0.01893440212191
8136,0.2474317011973148
8119,0.4308344312358663
8119,0.3572170473887191
8118,0.0480237489600456
8118,0.3772435919926609
8136,0.0209467698390134
8119,0.0186350291742361
8136,0.1156612593238719
8118,0.4130052538340397
8115,-0.0028124723614526
8115,0.5087238057898146
8416,0.0796859025273098
8115,0.095012187200768
8416,-0.0093977017283234
8416,0.0363169889999708
8416,0.5073942433370608
8115,0.0361049651312356
8135,0.0452810218223175
8135,0.3820166950037785
8135,0.1077411152309841
8337,0.0218946618414274
8337,0.3892574964929298
8315,0.2683558344177887
8315,0.0738259162260442
8436,0.5316058859761151
8436,0.0693786962741423
8436,0.0464304120218087
8326,0.540663130792194
8326,0.0445654814091
8315,0.0518294767186493
8326,0.010923794912484
8337,0.0671192810886927
8337,0.2334494996210973
8337,0.0080605403383738
8417,0.4065363226345338
8417,0.4901679073588808
8327,0.2587346105584941
8327,0.0704924529440957
8327,0.2788016482820444
8417,0.0741195235093177
8335,0.0149414671388552
